Datetime,MAE,P.Waterlevel,P.Waterlevel-1,P.Waterlevel-2,P.Waterlevel-3,T.Waterlevel,T.Waterlevel-1,T.Waterlevel-2,T.Waterlevel-3
2017-08-05 06:00-00,0.17422314259725843,15.808079625698763,12.163749271030579,12.16680442710111,21.112078804225366,15.806394549580737,11.981891666666666,11.981891666666666,21.15075944641719
2017-08-05 12:00-00,0.17781249238836316,15.808350068101793,12.166429677597668,12.169467696473323,21.114103296651873,15.806351853988767,11.985225000000002,11.985225000000002,21.151511244650823
2017-08-05 18:00-00,0.18167481192176296,15.808531269183941,12.168274867870231,12.171295292821316,21.11547876131288,15.80764364566505,11.997558333333332,11.997558333333332,21.152263042884456
2017-08-06 00:00-00,0.18594481742979696,15.808625686474834,12.169402388236179,12.172428090267905,21.11636177911233,15.807603257942919,12.010058333333332,12.010058333333332,21.15301484111809
2017-08-06 06:00-00,0.19061732667804812,15.808513322619474,12.170680352766293,12.17371515138306,21.117331955281394,15.807564024155704,12.016225,12.016225,21.153766639351723
2017-08-06 12:00-00,0.1953578727205017,15.808687509034971,12.171921214912075,12.174970845466582,21.11832949232163,15.807525944303405,12.022391666666666,12.022391666666666,21.154518437585356
2017-08-06 18:00-00,0.20035877942697686,15.808810207556675,12.173395517076425,12.17642117372136,21.11940574596945,15.80748901838603,12.027641666666666,12.027641666666666,21.155270235818993
2017-08-07 00:00-00,0.2057641696644372,15.808842304436258,12.174106120536571,12.177111613874985,21.11990141496146,15.80745324640357,12.037308333333334,12.037308333333334,21.156022034052626
2017-08-07 06:00-00,0.21239144789187323,15.808680154147622,12.172969013043566,12.17596873218783,21.11900507818305,15.807418628356027,12.043808333333333,12.043808333333333,21.15677383228626
2017-08-07 12:00-00,0.21958402562211912,15.808446168646846,12.171115178433022,12.174117092211945,21.11757696634421,15.807385164243403,12.049058333333333,12.049058333333333,21.157525630519896
2017-08-07 18:00-00,0.22642847626241785,15.808297277561508,12.170387380534084,12.173375259454392,21.11697274077426,15.81068618739903,12.059141666666667,12.059141666666667,21.158277428753525
2017-08-08 00:00-00,0.2329580075745765,15.808222421202686,12.170153982414389,12.173138379399564,21.11678110567576,15.814155031156243,12.073891666666666,12.073891666666666,21.159029226987162
2017-08-08 06:00-00,0.23920802551135553,15.808202553645524,12.170185116562863,12.173164512453225,21.116785668055936,15.814125028848371,12.077808333333333,12.077808333333333,21.159781025220795
2017-08-08 12:00-00,0.24564500176138046,15.808180433712298,12.170131105669881,12.17310523169588,21.11672637697683,15.81484618047542,12.081975,12.081975,21.16053282345443
2017-08-08 18:00-00,0.2536507485168717,15.807939763675058,12.16831294275664,12.171278050664458,21.115293147465504,15.814901819370721,12.085141666666665,12.085141666666665,21.161284621688065
2017-08-09 00:00-00,0.2613747333044174,15.80775166051318,12.167029435246986,12.169962916766147,21.114203003685837,15.817041945534271,12.099308333333333,12.099308333333333,21.162036419921698
2017-08-09 06:00-00,0.2678807555215588,15.807679216499094,12.16703424267396,12.169958192891656,21.11418131493496,15.817099892299407,12.105558333333335,12.105558333333335,21.162788218155335
2017-08-09 12:00-00,0.27427830468879955,15.807705271210363,12.167530092172997,12.170451969026878,21.11456248,15.81715899299946,12.106891666666666,12.106891666666666,21.163540016388968
2017-08-09 18:00-00,0.2804540530233538,15.807786370974517,12.16840244188813,12.171320283777984,21.115229145556714,15.821802580967766,12.118641666666667,12.118641666666667,21.164291814622594
2017-08-10 00:00-00,0.28666061450470753,15.80780714765245,12.168583540392122,12.171508097594467,21.11539446323945,15.832280656204324,12.135474999999998,12.135474999999998,21.16504361285623
2017-08-10 06:00-00,0.2938795699233341,15.807855857618163,12.167157994652584,12.170113397836534,21.11441787623804,15.837509885375797,12.147975,12.147975,21.165795411089867
2017-08-10 12:00-00,0.3017004025172375,15.807692110916122,12.165926942704877,12.16888407464384,21.11347651465459,15.843490268482189,12.158975,12.158975,21.16654721
2017-08-10 18:00-00,0.30938697874273297,15.807526185537318,12.16461656876847,12.167581097743563,21.112488528839567,15.86122181,12.183141666666668,12.183141666666668,21.16729900755713
2017-08-11 00:00-00,0.3170040513469479,15.807378219510474,12.163319942554777,12.166294968747831,21.111517226315065,15.88070449649973,12.208808333333332,12.208808333333332,21.168050805790767
2017-08-11 06:00-00,0.3250830526568633,15.807150266816201,12.16111380230905,12.164113294542686,21.109881542532772,15.897938341410876,12.230141666666666,12.230141666666666,21.168802604024403
2017-08-11 12:00-00,0.3329731747798316,15.806917479990297,12.158958372245904,12.161979505990216,21.108278622297945,15.913256673590276,12.250391666666667,12.250391666666667,21.169554402258036
2017-08-11 18:00-00,0.33934209643268715,15.80681183658258,12.158494351929516,12.161516910437816,21.10792933392446,15.931076159704592,12.274724999999998,12.274724999999998,21.17030620049167
2017-08-12 00:00-00,0.34522359841201394,15.80682987497532,12.158388684093591,12.161420320187663,21.107872237254067,15.950063466420493,12.300141666666667,12.300141666666667,21.171057998725303
2017-08-12 06:00-00,0.35071080486075407,15.807034745445682,12.158435826094294,12.161466485532765,21.107944949581157,15.96846859373798,12.325391666666665,12.325391666666665,21.171809796958936
2017-08-12 12:00-00,0.35558082133497415,15.807084438219015,12.159561233102817,12.162562208386731,21.10873415081667,15.984958208323718,12.349058333333334,12.349058333333334,21.172561595192573
2017-08-12 18:00-00,0.3599976326442925,15.807096086899831,12.160426129622135,12.163410421873547,21.109362720221057,15.989698976844373,12.361225,12.361225,21.173313393426206
2017-08-13 00:00-00,0.3640873943700727,15.807135320774389,12.16096446,12.163961095608396,21.109816644732934,16.002274232633276,12.381641666666665,12.381641666666665,21.17406519165984
2017-08-13 06:00-00,0.36716264006784805,15.807268157515807,12.16237512687608,12.165376038767587,21.110923455511227,16.01318397569044,12.4005,12.4005,21.174816989893475
2017-08-13 12:00-00,0.37066125340462697,15.807377155183849,12.164528540080367,12.167477653570918,21.112449223310197,16.019594872682514,12.414666666666667,12.414666666666667,21.17556878812711
2017-08-13 18:00-00,0.37411898012909184,15.807475185090944,12.165136138429222,12.16811599969631,21.113012956519462,16.019673590276174,12.418166666666666,12.418166666666666,21.17632058636074
2017-08-14 00:00-00,0.3769492824363628,15.807656781127973,12.16685650158671,12.169842054311156,21.114364176184644,16.021170128471418,12.42675,12.42675,21.177072384594375
2017-08-14 06:00-00,0.37903802868275754,15.807949509399366,12.169323151448028,12.172320014850106,21.11630790286743,16.022167820601585,12.434750000000001,12.434750000000001,21.17782418282801
2017-08-14 12:00-00,0.3810961768188073,15.808192863793947,12.170275038680384,12.17338373153956,21.117335855019245,16.02241666666667,12.433083333333334,12.433083333333334,21.178575981061638
2017-08-14 18:00-00,0.3834434497976224,15.808440753691485,12.17233411,12.17546566628343,21.11899730995485,16.02825,12.436083333333332,12.436083333333332,21.179327779295274
2017-08-15 00:00-00,0.38555978325016727,15.808748038034091,12.17514856005338,12.178271755812766,21.121160624341695,16.04175,12.454833333333333,12.454833333333333,21.180079577528904
2017-08-15 06:00-00,0.3877222606137759,15.809093361536112,12.177587855940088,12.180715013279134,21.123063806900188,16.041833333333333,12.46,12.46,21.18083137576254
2017-08-15 12:00-00,0.3901930342599078,15.809367380088073,12.179683578461935,12.182815448004586,21.124706728319467,16.039833333333334,12.454833333333333,12.454833333333333,21.181583173996174
2017-08-15 18:00-00,0.39307506133564546,15.809625302943974,12.181716922099396,12.184852652862686,21.126298799780585,16.04275,12.461666666666666,12.461666666666666,21.182334972229807
2017-08-16 00:00-00,0.3952173546086517,15.809974868998227,12.184526380666082,12.18764994994403,21.128451096951608,16.05525,12.478916666666667,12.478916666666667,21.18308677046344
2017-08-16 06:00-00,0.39621036661768894,15.810453521831286,12.188360387359092,12.191468366136728,21.131395927872454,16.06608333333333,12.496833333333333,12.496833333333333,21.183838568697077
2017-08-16 12:00-00,0.39683865281013697,15.810935028240289,12.192272410042854,12.195371698297667,21.134424796911567,16.067916666666665,12.502,12.502,21.18459036693071
2017-08-16 18:00-00,0.3980683349758631,15.811314998257295,12.19551875256106,12.19860899570604,21.13693528489683,16.07575,12.516583333333333,12.516583333333333,21.185343212237093
2017-08-17 00:00-00,0.3992289984798161,15.811666392079852,12.198588679256497,12.20167462213374,21.139326902864294,16.088583333333332,12.532083333333333,12.532083333333333,21.186096057543477
2017-08-17 06:00-00,0.4002173156060787,15.81200603397179,12.201740435402256,12.204828109704515,21.141803648221952,16.1035,12.552166666666666,12.552166666666666,21.18684890284986
2017-08-17 12:00-00,0.4007998535509992,15.81243104338785,12.205527247375414,12.20859461344416,21.144707464559744,16.117833333333333,12.573083333333333,12.573083333333333,21.187601748156244
2017-08-17 18:00-00,0.4013392008736066,15.812861566734567,12.208919008865543,12.211986477115234,21.147355118696137,16.120833333333334,12.583333333333334,12.583333333333334,21.188354593462623
2017-08-18 00:00-00,0.4018070917273692,15.813286705995433,12.21214071555764,12.21519573112666,21.149842898774548,16.130583333333334,12.600916666666668,12.600916666666668,21.189107438769003
2017-08-18 06:00-00,0.40238118800916367,15.813685117090015,12.21524875827174,12.218295637054025,21.152259492463305,16.139416666666666,12.616583333333333,12.616583333333333,21.189860284075387
2017-08-18 12:00-00,0.4022750295053706,15.814147287391528,12.218846529758721,12.221888692099897,21.155086152575123,16.146333333333335,12.631333333333334,12.631333333333334,21.19061312938177
2017-08-18 18:00-00,0.4022865280487205,15.814636027967156,12.222286265627474,12.225329552082258,21.157812285992094,16.146916666666666,12.636666666666665,12.636666666666665,21.191364927615403
2017-08-19 00:00-00,0.40264728685365336,15.815078644991402,12.225964719303503,12.228983156536184,21.160660131530705,16.149166666666666,12.645666666666667,12.645666666666667,21.192116725849036
2017-08-19 06:00-00,0.40285328341879356,15.815444168320056,12.231080854684267,12.233988403514807,21.16441831072721,16.150166666666667,12.653833333333331,12.653833333333331,21.192868524082673
2017-08-19 12:00-00,0.4028079749624221,15.815736431502021,12.233225288146432,12.23624002094026,21.16634735303227,16.15083333333333,12.659833333333333,12.659833333333333,21.193620322316303
2017-08-19 18:00-00,0.40330914299000875,15.816158123702802,12.236669538950526,12.239646588735082,21.16898854392805,16.151416666666666,12.662749999999999,12.662749999999999,21.19437212054994
2017-08-20 00:00-00,0.4040775277470815,15.81652369347945,12.239608569090446,12.242553821020342,21.17124734106159,16.152,12.666666666666666,12.666666666666666,21.195123918783572
2017-08-20 06:00-00,0.40552318397621306,15.816800980565615,12.241752531888551,12.244684095917917,21.172917586293572,16.152583333333332,12.670666666666666,12.670666666666666,21.19587571701721
2017-08-20 12:00-00,0.4079141375717568,15.816997030362776,12.243064028029936,12.245992729285176,21.173954007950744,16.153166666666667,12.67425,12.67425,21.196627515250842
2017-08-20 18:00-00,0.410042143,15.817236720683399,12.245180386338184,12.248037415638313,21.175478641646414,16.153666666666666,12.682500000000001,12.682500000000001,21.197379313484475
2017-08-21 00:00-00,0.41213360703087587,15.817403147561219,12.247083867510794,12.249902367083319,21.176906550028463,16.15425,12.691666666666666,12.691666666666666,21.19813111171811
2017-08-21 06:00-00,0.4144694047036017,15.817591139969899,12.249082198579742,12.251858966247502,21.178394560743435,16.15475,12.694166666666666,12.694166666666666,21.198882909951745
2017-08-21 12:00-00,0.41750126605212495,15.817698296737719,12.250043325659142,12.252802180252866,21.179117217950854,16.15525,12.699916666666665,12.699916666666665,21.19963470818538
2017-08-21 18:00-00,0.421211841,15.81768002847145,12.250123796555151,12.252875821867544,21.17916449316354,16.15575,12.708916666666665,12.708916666666665,21.20038650641901
2017-08-22 00:00-00,0.42479058099675393,15.817635590973314,12.250508996305992,12.253242855910704,21.179430982763034,16.15625,12.718083333333334,12.718083333333334,21.20113830465265
2017-08-22 06:00-00,0.4276039061411753,15.81778425969764,12.251639810753103,12.254396595782724,21.180374032988198,16.15675,12.72725,12.72725,21.201890102886278
2017-08-22 12:00-00,0.4303508516360761,15.818095473122693,12.253534769614223,12.25629013739559,21.18188354753346,16.15725,12.73575,12.73575,21.202641901119915
2017-08-22 18:00-00,0.4332179175281593,15.818394881303837,12.255875250438443,12.258602424851444,21.183689092525196,16.15775,12.745666666666667,12.745666666666667,21.203393699353548
2017-08-23 00:00-00,0.4357179585427982,15.818703803523505,12.258506619909014,12.261192521024025,21.185698967723553,16.15825,12.753416666666668,12.753416666666668,21.20414549758718
2017-08-23 06:00-00,0.43778509308951136,15.819079853052475,12.260865657117815,12.263553744044444,21.187602363491518,16.159166666666668,12.761249999999999,12.761249999999999,21.204897295820818
2017-08-23 12:00-00,0.4403587025097246,15.819405472679973,12.262988076089904,12.26567369747034,21.189310373921938,16.15975,12.772583333333333,12.772583333333333,21.205649094054447
2017-08-23 18:00-00,0.44324279142630485,15.81978516940894,12.26514536428517,12.26779459033546,21.190981129483262,16.160166666666665,12.77875,12.77875,21.20640089228808
2017-08-24 00:00-00,0.44623270074558014,15.820111421545691,12.26743177893788,12.270027495547591,21.192722908965578,16.160666666666668,12.785833333333333,12.785833333333333,21.207152690521713
2017-08-24 06:00-00,0.44862171219155833,15.82041157958089,12.271283280876187,12.273788162875986,21.19560543086665,16.161083333333334,12.792916666666667,12.792916666666667,21.207904488755347
2017-08-24 12:00-00,0.4504212917218048,15.820827295217715,12.27436598068092,12.276836752104366,21.198021356021915,16.1615,12.799583333333334,12.799583333333334,21.20865628698898
2017-08-24 18:00-00,0.45194705831388426,15.821305891131493,12.277745248687165,12.28018029718767,21.200679983220827,16.16175,12.804833333333333,12.804833333333333,21.209408085222616
2017-08-25 00:00-00,0.45344076929746147,15.821880029487104,12.28084845195333,12.283267548149341,21.20318543,16.16208333333333,12.810416666666667,12.810416666666667,21.21015988345625
2017-08-25 06:00-00,0.45475946661539424,15.822485398328753,12.284552719690632,12.286936267733777,21.20612669450029,16.1595,12.816083333333331,12.816083333333331,21.210911681689883
2017-08-25 12:00-00,0.4560294137388586,15.823080590346736,12.28824856661793,12.290598188590872,21.209066599599947,16.15975,12.819833333333332,12.819833333333332,21.211663479923516
2017-08-25 18:00-00,0.45680360508751294,15.823807417498914,12.292533085494748,12.29484721,21.21248954292226,16.16,12.824833333333334,12.824833333333334,21.212415278157152
2017-08-26 00:00-00,0.4570647961349209,15.824623816658502,12.29776288973229,12.299986559044278,21.216582871471854,16.160249999999998,12.829833333333333,12.829833333333333,21.213167076390786
2017-08-26 06:00-00,0.45723104621240773,15.82539486751232,12.301976940134885,12.304210534873327,21.220044159461093,16.1605,12.835333333333333,12.835333333333333,21.21391887462442
2017-08-26 12:00-00,0.45695342136269423,15.826263369205849,12.306940622096977,12.309146173392739,21.224052152150055,16.16075,12.840833333333332,12.840833333333332,21.214670672858052
2017-08-26 18:00-00,0.45659608809354196,15.827202410160684,12.312865259320832,12.315003307372972,21.228769487420333,16.16125,12.846166666666667,12.846166666666667,21.21542247109169
2017-08-27 00:00-00,0.45614285335505206,15.828150297034597,12.319204013090948,12.321262481831223,21.23380785386005,16.16166666666667,12.852749999999999,12.852749999999999,21.21617426932532
2017-08-27 06:00-00,0.45576500116025903,15.82920619752972,12.325374790809326,12.32736680111875,21.238775139846197,16.157333333333334,12.846749999999998,12.846749999999998,21.216926067558955
2017-08-27 12:00-00,0.45559531236161843,15.830271100526492,12.331556903466112,12.333469697833259,21.243743794899647,16.158916666666666,12.842333333333332,12.842333333333332,21.21767786579259
2017-08-27 18:00-00,0.45507693744842925,15.831430874732627,12.33824047092473,12.340098275909195,21.24916254380321,16.159000000000002,12.843250000000001,12.843250000000001,21.218429664026225
2017-08-28 00:00-00,0.45432739428323526,15.832788457493281,12.346153394112147,12.347940400215027,21.255580220050103,16.159416666666665,12.848916666666668,12.848916666666668,21.219181462259858
2017-08-28 06:00-00,0.45413025575524746,15.834060633536602,12.353676874939337,12.355391079474634,21.26168263275928,16.15983333333333,12.854333333333333,12.854333333333333,21.219933260493487
2017-08-28 12:00-00,0.45434339491731884,15.83526726260066,12.360340746194229,12.362005193953795,21.267132667843185,16.158416666666668,12.857666666666667,12.857666666666667,21.220685058727124
2017-08-28 18:00-00,0.4547685849682234,15.836475951643418,12.366816780962125,12.36844140481387,21.272455421497117,16.15875,12.86375,12.86375,21.221436856960754
2017-08-29 00:00-00,0.4552160224636764,15.837588351079031,12.372971707997186,12.374548124873307,21.277503410918726,16.15908333333333,12.869,12.869,21.22218865519439
2017-08-29 06:00-00,0.4555671660129959,15.838822260480217,12.379350902248968,12.380888067352322,21.282771455939002,16.15941666666667,12.877666666666668,12.877666666666668,21.222940453428023
2017-08-29 12:00-00,0.45546581202977937,15.84019404463794,12.386265739112728,12.387845406725278,21.28857358,16.15975,12.885416666666666,12.885416666666666,21.22369225166166
2017-08-29 18:00-00,0.45523032691278037,15.841849309342177,12.393212587929368,12.394806726131318,21.294446910672207,16.160083333333333,12.889916666666666,12.889916666666666,21.224444049895293
2017-08-30 00:00-00,0.45535482937926247,15.843171177282649,12.400220733900072,12.401746562246391,21.30022935568347,16.160416666666666,12.894833333333333,12.894833333333333,21.225195848128926
2017-08-30 06:00-00,0.45570260146339997,15.844218836109336,12.405607481286452,12.407093436194604,21.304698371214876,16.16075,12.899666666666667,12.899666666666667,21.22594764636256
2017-08-30 12:00-00,0.4561145062323297,15.84513688230869,12.410076410447488,12.411598952184296,21.30847680513333,16.161083333333334,12.904333333333334,12.904333333333334,21.226699444596193
2017-08-30 18:00-00,0.4567013611782753,15.846050537159197,12.414639077726038,12.416129386915415,21.31227280955001,16.161416666666668,12.909666666666665,12.909666666666665,21.22745124282983
2017-08-31 00:00-00,0.45719546067683886,15.84705080048314,12.419775990877397,12.42117300463335,21.316502855621117,16.16175,12.913916666666667,12.913916666666667,21.228203041063463
2017-08-31 06:00-00,0.45750768,15.848041432935972,12.424745776500082,12.426145637753768,21.32066933670253,16.16208333333333,12.917916666666665,12.917916666666665,21.228954839297096
2017-08-31 12:00-00,0.45793476727647225,15.848885160078279,12.42894156006954,12.430324157582152,21.32417904132715,16.162416666666665,12.923333333333334,12.923333333333334,21.22970663753073
2017-08-31 18:00-00,0.45833467518330434,15.849647586797435,12.432802756886456,12.434151790948059,21.32739561686901,16.16275,12.9255,12.9255,21.230458435764362
2017-09-01 00:00-00,0.45834384895097674,15.85050836813086,12.437235306144423,12.438548364933698,21.331089379827727,16.163083333333333,12.928,12.928,21.231210233997995
2017-09-01 06:00-00,0.45807574889819913,15.851446610747448,12.442049293999203,12.443325711429816,21.335104116978577,16.163416666666667,12.931666666666667,12.931666666666667,21.231962032231632
2017-09-01 12:00-00,0.45739770495441984,15.852501484185336,12.44756228486324,12.448800432745493,21.339703821019004,16.16375,12.934166666666668,12.934166666666668,21.23271383046527
2017-09-01 18:00-00,0.4562384614243385,15.853734664337798,12.45365545934196,12.454870091095977,21.344822110347025,16.164166666666667,12.936499999999999,12.936499999999999,21.23346563
2017-09-02 00:00-00,0.4549154089188458,15.855104937172326,12.460191349210927,12.461373933150913,21.350320935651304,16.164583333333333,12.938583333333334,12.938583333333334,21.234217426932535
2017-09-02 06:00-00,0.4538152833774801,15.856174606676241,12.46562543842342,12.466782908538526,21.354882831541484,16.164916666666667,12.939666666666666,12.939666666666666,21.234969225166164
2017-09-02 12:00-00,0.4528277296174527,15.857210162267233,12.47082332615266,12.47196300567498,21.359256312236607,16.165333333333333,12.942,12.942,21.235721023399798
2017-09-02 18:00-00,0.4514667293576919,15.858442062416772,12.476622697908958,12.477755425433802,21.364163706642287,16.180083333333332,12.958666666666666,12.958666666666666,21.23647282163343
2017-09-03 00:00-00,0.4497450542417318,15.859723538868547,12.48290406163188,12.484026097701932,21.369467264714597,16.195,12.976416666666667,12.976416666666667,21.237224619867067
2017-09-03 06:00-00,0.44721961509367153,15.861267196704901,12.49040064529674,12.491512240423951,21.375808448989808,16.195416666666667,12.978,12.978,21.23797642
2017-09-03 12:00-00,0.44450638663240494,15.862876626313792,12.498483823442054,12.499576660547119,21.38263917594827,16.19708333333333,12.983583333333334,12.983583333333334,21.238728216334334
2017-09-03 18:00-00,0.44248352946675085,15.86404885921204,12.504056313882167,12.505142136525782,21.387372561078433,16.203666666666667,12.99125,12.99125,21.23948001456797
2017-09-04 00:00-00,0.4410715155709146,15.864830705791938,12.50753248,12.508618747882014,21.390342388197865,16.210083333333333,13.001833333333332,13.001833333333332,21.240231812801603
2017-09-04 06:00-00,0.439606765,15.865528104793395,12.510873716944596,12.511955739828615,21.393181584516107,16.2135,13.009999999999998,13.009999999999998,21.240983611035233
2017-09-04 12:00-00,0.43803259166042224,15.86630540595323,12.514496794244003,12.515575892034228,21.39626768037893,16.214166666666667,13.012916666666666,13.012916666666666,21.24173540926887
2017-09-04 18:00-00,0.43589597714704276,15.867400967212143,12.519597067675193,12.520672444657402,21.400615053178438,16.234416666666664,13.026333333333334,13.026333333333334,21.242487207502503
2017-09-05 00:00-00,0.43310712215459995,15.868730563822245,12.525901328460561,12.526967263684972,21.405987774509697,16.265,13.047666666666666,13.047666666666666,21.24323900573614
2017-09-05 06:00-00,0.43010704955779905,15.870063427315596,12.531894915767133,12.532958151956493,21.411119204619578,16.271916666666666,13.05625,13.05625,21.243990803969773
2017-09-05 12:00-00,0.4270525407251249,15.871335374141397,12.537676658585458,12.538735291248884,21.416068476810167,16.2845,13.069416666666665,13.069416666666665,21.244742602203406
2017-09-05 18:00-00,0.4237192737602496,15.87267504572234,12.543905920786225,12.544957388914254,21.42139781566282,16.293333333333333,13.080499999999999,13.080499999999999,21.245494400437043
2017-09-06 00:00-00,0.41994722201154994,15.874144797287276,12.550645350286167,12.55168927823251,21.427173813217173,16.323666666666664,13.105833333333333,13.105833333333333,21.246246198670676
2017-09-06 06:00-00,0.415520976,15.87585717673631,12.558366022220305,12.559402305766604,21.433804781480088,16.3505,13.130916666666668,13.130916666666668,21.24699799690431
2017-09-06 12:00-00,0.4105728491520545,15.87770593943258,12.56665989641049,12.56768830100721,21.440943588938715,16.364333333333335,13.147166666666665,13.147166666666665,21.247749795137942
